"","Week","variable","value"
"1",1,"(Intercept)",0.591209214668934
"2",2,"(Intercept)",0.591209214668934
"3",3,"(Intercept)",0.591209214668934
"4",4,"(Intercept)",0.591209214668934
"5",5,"(Intercept)",0.591209214668934
"6",6,"(Intercept)",0.591209214668934
"7",7,"(Intercept)",0.591209214668934
"8",8,"(Intercept)",0.591209214668934
"9",9,"(Intercept)",0.591209214668934
"10",10,"(Intercept)",0.591209214668934
"11",11,"(Intercept)",0.591209214668934
"12",12,"(Intercept)",0.591209214668934
"13",13,"(Intercept)",0.591209214668934
"14",14,"(Intercept)",0.591209214668934
"15",15,"(Intercept)",0.591209214668934
"16",16,"(Intercept)",0.591209214668934
"17",17,"(Intercept)",0.591209214668934
"18",18,"(Intercept)",0.591209214668934
"19",19,"(Intercept)",0.591209214668934
"20",20,"(Intercept)",0.591209214668934
"21",21,"(Intercept)",0.591209214668934
"22",22,"(Intercept)",0.591209214668934
"23",23,"(Intercept)",0.591209214668934
"24",24,"(Intercept)",0.591209214668934
"25",25,"(Intercept)",0.591209214668934
"26",26,"(Intercept)",0.591209214668934
"27",27,"(Intercept)",0.591209214668934
"28",28,"(Intercept)",0.591209214668934
"29",29,"(Intercept)",0.591209214668934
"30",30,"(Intercept)",0.591209214668934
"31",31,"(Intercept)",0.591209214668934
"32",32,"(Intercept)",0.591209214668934
"33",33,"(Intercept)",0.591209214668934
"34",34,"(Intercept)",0.591209214668934
"35",35,"(Intercept)",0.591209214668934
"36",36,"(Intercept)",0.591209214668934
"37",37,"(Intercept)",0.591209214668934
"38",38,"(Intercept)",0.591209214668934
"39",39,"(Intercept)",0.591209214668934
"40",40,"(Intercept)",0.591209214668934
"41",41,"(Intercept)",0.591209214668934
"42",42,"(Intercept)",0.591209214668934
"43",43,"(Intercept)",0.591209214668934
"44",44,"(Intercept)",0.591209214668934
"45",45,"(Intercept)",0.591209214668934
"46",46,"(Intercept)",0.591209214668934
"47",47,"(Intercept)",0.591209214668934
"48",48,"(Intercept)",0.591209214668934
"49",49,"(Intercept)",0.591209214668934
"50",50,"(Intercept)",0.591209214668934
"51",51,"(Intercept)",0.591209214668934
"52",52,"(Intercept)",0.591209214668934
"53",53,"(Intercept)",0.591209214668934
"54",54,"(Intercept)",0.591209214668934
